delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delay_hours,cost_per_km,package_category,delivery_performance
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,8,8,no,delivered,3,1632.7206,0,5.497375757575758,Heavy,On Time
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,2,3,no,delivered,5,640.17,-1,7.144754464285715,Heavy,On Time
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,10,16,no,delivered,4,1448.17,-6,5.294954296160878,Heavy,On Time
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,6,8,no,delivered,3,1486.57,-2,5.511939191694475,Light,On Time
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,9,16,no,delivered,4,1394.56,-7,5.432645111024542,Heavy,On Time
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,4,2,yes,delayed,3,391.45,2,8.087809917355372,Heavy,Delayed
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,6,8,no,delivered,3,1222.87,-2,6.166767523953605,Heavy,On Time
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,4,8,no,delivered,3,800.89,-4,6.988568935427574,Heavy,On Time
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,5,8,no,delivered,5,854.18,-3,5.9984550561797745,Light,On Time
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,3,8,no,delivered,5,423.34,-5,8.988110403397027,Heavy,On Time
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,5,8,no,delivered,4,1632.15,-3,5.566678035470669,Heavy,On Time
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,3,16,no,delivered,5,541.44,-13,6.7343283582089555,Heavy,On Time
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,8,16,no,delivered,4,1350.18,-8,5.239348079161816,Heavy,On Time
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,6,2,yes,failed,1,155.08,4,8.162105263157896,Light,Delayed
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,12,16,no,delivered,3,1263.27,-4,5.3100882723833545,Heavy,On Time
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,8,6,yes,delayed,3,1281.51,2,5.355244463017133,Light,Delayed
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,10,24,no,delivered,5,397.19,-14,5.027721518987342,Light,On Time
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,11,24,no,delivered,5,990.36,-13,5.801757469244289,Heavy,On Time
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,4,8,no,delivered,3,651.1,-4,7.234444444444445,Heavy,On Time
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,7,3,yes,failed,2,388.09,4,6.06390625,Light,Delayed
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,6,16,no,delivered,4,986.8,-10,5.308230231307154,Light,On Time
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,9,16,no,delivered,4,1131.74,-7,5.193850390087196,Light,On Time
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,6,8,no,delivered,5,1293.05,-2,6.039467538533396,Heavy,On Time
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,8,24,no,delivered,4,1363.2,-16,5.415971394517283,Heavy,On Time
